@relation Cities_Above_90_Without_PM10_attributesremoved

@attribute PM2.5 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
76.18,38.5,46.46,52.1,11.01,0.8,15.02,14.39,168
61.48,23.76,39.43,62.48,10.72,0.78,11.53,19.51,122
73.5,9.37,39.55,27.55,12.27,1.3,4.65,21.45,122
70.78,11.43,55.91,37.72,12.06,1.02,10.59,24.48,146
75.01,16.92,70.58,49.75,19.63,0.84,13.99,22.94,152
42.84,11.69,50.76,34.73,?,0.78,17.8,25.71,119
77.23,35.73,83.2,94.37,16.11,1.02,15.22,22.72,130
68.98,86.51,110.24,147.06,10.83,0.78,14.5,17.73,253
73.89,95.19,77.38,110.35,16.09,0.97,18.94,20.92,219
75.45,44.25,72.62,71.08,20.9,0.98,24,23.09,146
78.07,43.53,45.06,55.6,28.94,0.97,24.02,17.64,170
53.45,44.68,34.63,50.76,43.57,0.93,18.54,20.57,117
63.58,48.29,41.69,57.18,26.58,1.15,13.94,22,113
57.91,33.73,29.72,40.25,16.27,1.08,11.77,11.02,146
41.36,24.11,35.97,35.05,14.08,0.99,5.66,15.4,102
51.7,15.35,51.13,35.03,19.55,1.23,7.78,18.12,98
54.34,7.72,45.69,28.2,17.79,1.04,8.68,26.95,104
54.33,14.67,41.42,32.76,20.6,1.05,8.73,17.6,91
84.84,20.32,36.42,34.42,53.81,1.16,2.96,17.21,118
87.02,7.3,36.39,23.82,22.43,1.12,3.02,26.32,175
71.42,8.62,37.09,25.13,20.22,1.21,4.28,23.31,149
119.16,15.82,48.59,36.49,33.27,1.32,6.07,23.3,183
84.45,15.81,55.88,40.35,30.23,1.85,6.34,17.17,184
76.8,17.4,55.92,41.2,27.39,1.39,5.9,15.86,156
75.57,13.74,62.78,41.28,23.28,1.9,5.54,25.77,153
74.6,10.79,49.76,32.57,22.79,1.6,5.13,28.21,141
72.11,9.3,49.34,31.63,21.72,1.37,4.07,31.13,139
63.42,5.2,45.84,25.16,19.25,1.81,3.74,32.4,154
82.78,4.31,84.52,35.82,19.97,3.28,2.76,37.66,199
75.98,3.23,46.99,21.56,18.87,1.59,3.49,31.18,182
85.33,6.7,59.41,30.85,20.89,2.19,9.71,35.63,175
84.32,5.88,46.66,26.54,20.63,2.2,14.25,49.77,191
91.95,5.85,45.44,25.01,17.12,2.06,23.66,58.94,203
83.66,6.15,49.77,26.13,19.85,1.7,5.25,67.3,154
85.96,8.34,56.54,33.17,17.34,1.69,4.73,63.27,160
62.08,20.4,43.41,39.5,15.09,1.46,3.14,57.1,136
56.57,10.84,35.08,33.68,40.86,1.73,4.27,37.83,107
42.58,9.51,23.5,19.24,27.19,1.51,3.45,31.32,88
49.6,9.96,24.34,19.72,24.05,1.66,4.46,25.02,105
54.56,10.56,19.86,17.74,?,1.51,4.12,29.33,111
44.26,10.47,26.16,20.93,25.75,1.51,3.9,42.53,117
53.12,9.46,30.94,22.89,29.92,1.47,3.2,36.37,113
57.32,10.18,34.98,25.44,29.87,1.45,2.88,49.63,115
90.07,7.72,32.23,22.31,29.34,1.57,3.26,38.32,145
134.69,4.88,32.14,20.48,30.6,1.12,2.99,42.23,177
110.05,11.92,38.67,25.42,28.79,0.94,4.85,59.43,198
66.98,9.08,37.3,25.34,27.07,0.73,6.91,64.9,165
51.96,10.53,28.51,22.43,24.1,0.94,5.29,37.26,124
36.28,12.77,41.88,27.18,5.47,0.81,3.09,30.33,88
35.63,12.59,47.36,24.09,4.09,0.79,3.52,29.08,88
41.64,11.73,30.64,23.56,3.83,1.01,3.16,39.28,105
39.21,42.33,42.55,51.48,13.53,0.84,3.5,37.68,118
42.17,19.36,33.44,29.43,22.47,0.56,2.24,31.99,132
54.91,6.3,31.09,18.25,22.73,0.58,1.91,49.42,121
54.04,9.52,38.09,25.03,21.95,0.62,2.45,42.21,136
55.72,5.47,31.96,18.66,23.49,1.68,2.36,38.54,153
45.98,3.63,22.73,12.1,23.84,0.77,2.12,49.65,135
43.69,4.16,24.23,13.82,23.77,0.58,2.05,45.07,111
44.74,10.23,41.83,24.9,23.93,1.41,2.82,49.67,135
51.06,10.44,47.14,30.04,33.25,0.97,4.02,38.62,123
53.1,13.13,43.2,34.09,31.23,1.51,3.14,35.52,146
60.7,13.82,36.11,33.16,33.7,1.03,3.61,40,155
59.53,7.19,26.64,19.89,26.04,0.86,3,58.17,144
64.29,5.68,21.86,14.6,21.27,0.57,2.75,68.09,149
67.65,6.95,33.09,20.19,23.37,0.79,2.95,77.42,158
68.48,15.88,36.46,25.68,24.7,1.28,2.93,47.78,175
76.33,11.08,39.12,26.5,36.52,1.19,2.85,98.66,139
72.22,11.89,25.76,18.7,29.15,0.89,3.24,39.82,145
60.58,7.91,18.32,15.69,26.55,0.96,2.89,35.81,151
98.29,10.49,32.29,24.48,29.65,1.22,2.53,33.32,158
239.54,3.12,14.6,9.98,27.35,1.2,1.57,?,253
121.43,8.95,59.53,35.01,32.86,0.91,2.47,56.77,264
66.36,9.51,62.46,37.08,32.7,0.98,3.93,43.14,155
29.73,10.09,46.26,35.81,29.53,0.52,2.38,49.68,137
34.49,7.52,34.43,22.68,24.5,0.92,3.92,46.87,119
32.59,4.59,28.33,14.13,22.9,0.9,3.22,55.02,137
56.05,6.3,29.32,19.1,32.86,2.11,5.56,57.03,149
63.5,4.97,30.19,18.63,42.56,0.82,5.39,89.88,156
57.92,6.37,35.15,22.21,50,0.86,6.06,48.81,123
48.28,5.17,23.54,15.33,24.05,0.87,3.42,40.43,118
42.65,5.45,25.51,16.91,22.67,0.86,4.7,35.06,107
50.78,5.35,32.46,21.42,23.75,0.82,3.72,44.42,111
49.33,7.72,35.55,24.09,23.19,0.87,4.51,38.74,106
51.78,10.62,36.29,25.48,29.64,0.62,2.51,34.73,112
53.54,8.11,26.49,18.69,19.18,1,2.97,34.38,110
54.8,12.49,39.97,28.58,45.69,0.85,4.65,26.66,114
49.84,19.66,50.15,45.68,22.62,1.11,4.27,29.98,118
63.16,7.65,52.29,24.61,28.88,1.18,3.67,43.57,154
46.24,3.14,17.79,10.68,23.17,1.19,3.17,67.46,179
34.18,3.97,17.37,11.52,19.5,1.03,2.2,58.76,102
33.01,27.61,38.54,32.63,18.87,1.13,3.61,53.57,170
31.3,4.2,19.45,13.01,16.4,1.03,2.75,62.4,112
31.68,4.37,19.05,12.52,20.63,1.86,2.87,58.82,138
36.98,3.86,14.71,9.61,17.27,1.25,3.1,74.34,121
36.88,16.58,30.43,26.02,30.91,0.81,5.44,60.73,118
35.46,9.73,31.64,23.58,25.67,1.08,3.19,109.97,171
35.31,6.29,18.99,14.15,26.03,1.07,3.9,76.46,156
34.85,4.84,10.08,8.09,26.81,1.02,3.06,67.25,140
36.9,3.37,9.89,7.11,24.31,0.78,2.36,77.75,114
38.81,5.65,16.09,11.74,25.84,1.37,2.74,49.33,138
34.65,4.35,12.86,9.5,25.01,1.87,2.71,50.77,137
31.89,4.69,19.53,10.82,25.6,1.65,3.82,62.54,134
33.61,5.82,13.97,11.33,22.65,0.64,6.92,65.97,119
34.83,6.28,10.21,9.96,26.41,0.94,4.09,48.47,98
39.01,9.13,19.84,18.09,27.43,0.98,3.9,49.78,107
39.53,7.26,19.55,15.68,20.86,2.09,4.16,47.44,150
37.17,6.77,16.25,13.99,25.49,0.71,3.39,47.77,94
39.88,7.67,21.35,16.08,24.94,0.72,3.74,56.94,85
32.59,5.91,22.96,15.81,19.65,1.53,5.23,43.48,115
47.42,20.84,22.55,33.44,18.06,0.6,5.65,39.29,74
48.78,5.64,23.05,16.42,17.12,0.67,4.34,47.83,88
46.6,9.97,20.19,21.66,17.48,0.82,4.12,53.75,86
35.86,4.47,23.12,15.99,16.11,0.49,4.17,74.38,87
39.87,8.72,28.17,18.17,19.71,0.62,5.62,68.49,99
40.79,6.61,43.48,25.98,20.1,0.6,4.37,46.14,80
57.96,4.08,32.02,18.21,16.71,0.55,4.58,45.77,102
46,13.5,34.28,24.08,17.66,0.66,7.17,40.96,76
23.99,2.85,19.03,11.43,16.79,1.15,4.1,95.21,59
27.21,26.89,34.02,34.92,17.82,0.69,3.15,53.32,67
26.43,69.97,75.84,64.74,16.68,0.6,2.89,52.09,107
20.46,6.44,26.1,15.86,16.5,0.6,3.66,58.13,95
32.5,5.74,20.91,14.43,16.75,0.99,4.01,50.62,72
57.81,4.39,12.56,8.77,16.13,0.88,3.11,45.59,91
31.19,7.37,14.44,13.47,19.08,0.67,3.77,54.95,88
34.06,5.54,10.89,8.46,23.06,0.72,4.08,70.86,86
33.05,22.08,31.46,28.58,?,0.61,2.78,53.86,78
28.39,4.27,11.86,9.25,?,0.46,2.94,41.46,65
27.01,6.67,18.35,15.54,19.96,0.91,4.16,22.93,50
36.67,5.28,21.65,15.22,11.28,0.61,3.71,20.18,74
27.51,11.01,23.46,20.58,36.19,0.47,5.04,20.14,47
28.47,2.66,5.53,4.62,7.22,0.56,4.42,32.59,46
22.27,2.09,10.54,6.35,7.84,0.52,3.81,30.79,48
42.52,1.96,8.91,5.78,8.66,0.42,4.46,29.76,35
152.94,1.41,9.86,5.87,9.56,1.08,3.36,27.96,83
28.65,1.84,11.01,6.74,9.71,0.78,3.91,32.6,173
25.75,1.55,6.83,4.57,10.37,0.42,4.91,31.86,50
?,2.12,8.52,5.85,24.05,0.43,5.53,?,37
?,1.87,8.02,5.43,21.54,0.49,7,?,33
?,1.78,7.12,4.86,21.52,0.43,5.81,?,38
?,1.82,7.81,5.28,21.36,0.43,4.2,?,38
?,1.69,7.3,4.9,17.98,0.49,2.55,?,27
35.98,3.03,14.57,9.75,30.8,0.76,4.5,?,26
27.6,5,25.1,16.73,56.94,0.65,4.83,?,47
17.15,4.41,31.6,19.55,75.14,0.4,4.74,?,49
17.71,3.79,18.64,12.31,29.71,0.43,2.68,?,43
?,2.59,10.15,6.67,?,0.39,1.9,?,29
?,2.41,10.81,6.86,?,0.41,2.15,?,30
?,2.18,9.08,5.85,?,0.36,2.18,?,33
?,2.14,8.56,5.56,?,0.33,1.82,?,26
?,2.6,11.68,7.43,?,0.36,1.69,?,23
?,2.25,9.28,5.99,?,0.34,2.24,?,20
?,2.3,10.05,6.41,?,0.37,2.28,?,20
?,2.11,10.14,6.31,?,0.35,2.17,?,20
?,2.01,8.84,5.6,?,0.34,1.99,?,23
?,2.28,9.8,6.27,?,0.34,2.16,?,26
?,2.62,12.82,7.99,?,0.41,2.02,?,23
?,2.47,14.43,8.67,?,0.4,2.09,?,26
?,2.27,10.93,6.81,?,0.34,2,?,40
33.9,5.99,18.94,14.16,38.77,0.97,3.39,14.93,28
31.98,7.93,20.46,17.06,34.41,3.8,4.05,9.69,156
26.77,6.42,15.29,10.44,31.78,4.02,4.64,11.99,195
27.61,9.28,21.69,16.62,37.12,2.12,4.5,10.92,137
28.24,6.57,15.81,14.49,36.79,0.47,7.48,?,71
29.83,5.48,17.61,12.97,32.55,0.33,1.79,31.87,77
19,3.39,16.91,9.84,32.35,1.61,1.9,53.33,143
15.04,3.91,17.15,9.58,30.59,5.43,1.73,65.62,181
?,?,?,?,?,?,?,?,31
16.54,9.12,26.15,19.61,43.21,3.02,2.1,45.27,33
27.23,8.54,23.71,21.32,45.56,3.63,1.87,38.45,151
115.98,8.59,24.19,19.33,44.18,2.48,1.58,39.09,174
13.95,7.33,20.42,16.49,37.66,3.55,1.86,39.53,154
25,5.42,19.59,17.99,41.94,5.62,1.26,44.86,208
31.8,3.27,15.96,10.19,35.09,6.28,1.1,51.84,192
17.36,10.96,20.82,16.04,29.15,7.87,1.54,42.29,238
19.4,12.8,23.11,19,32.37,4.04,1.86,33.37,160
18.36,10.01,19.9,17.76,31.94,2.27,2.18,35.67,83
17.26,6,13.18,13.25,32.42,0.42,1.77,?,56
15.02,3.18,13.05,11.82,35.53,1.28,2.96,?,141
?,8.12,18.6,16.82,28.85,0.57,5.22,?,43
?,7.27,15.69,14.37,28.08,0.46,4.04,?,65
8.98,3.12,8.98,9,25.57,0.38,2.23,?,30
?,3.64,13.36,10.15,24.14,0.53,3.13,?,40
?,3.17,11.15,8.45,17.58,1.51,3.46,?,54
?,3.27,7.84,5.83,14.47,0.55,1.94,?,41
?,6.23,14.43,11.43,18.34,0.61,2.89,?,42
?,9.54,23.36,17.74,15.33,1.48,2.96,?,54
?,13.06,33.33,25.12,?,0.69,2.8,?,61
?,10.92,20.74,17.38,12.73,0.74,1.84,?,70
218.17,5.39,10.49,8.64,15.8,2.63,3.62,?,62
55.51,4.49,10.06,10.14,18.58,5.8,2.87,?,308
?,11.65,20.88,17.82,?,0.51,2.31,?,82
22.79,6.29,3,7.66,15.69,?,4.7,?,36
17,10.12,10.29,12.98,15.8,0.91,1.58,?,36
22.19,11.37,16.14,15.42,10.82,0.53,1.06,?,55
8.74,9.58,10.3,11.75,13.48,0.47,1.28,?,58
18.9,24.37,30.71,28.43,21.24,0.83,1.86,?,37
17.54,39.37,30.36,20.54,2.09,0.58,2.44,?,72
20.06,6.15,9.27,10.25,0.15,0.69,1.53,?,33
19.91,8.17,18.42,14.77,0.68,0.63,1.63,?,53
14.66,6.68,17.36,13.59,0.33,0.45,1.52,?,64
25.09,5.21,8.97,6.48,40.88,45.96,1.24,16.55,46
21.94,5.07,8.83,7.15,40.67,47.93,1.37,18.87,37
21.57,5.63,14.87,7.1,40.59,3.59,1.75,19.82,38
14.38,4.9,12.56,6.76,40.86,3.34,2.31,21.54,49
101.09,5.23,12.41,7.33,40.69,0.56,3.03,20.49,71
33.05,6.58,16.2,5.75,40.91,1.59,2.63,20.28,229
39.14,4.93,15.46,4.7,40.66,0.52,2.72,21.74,68
41.43,5.95,18.34,1.75,40.69,0.47,2.87,26.26,64
100.39,5.88,21.01,1.98,40.31,0.49,3.66,26.14,62
56.45,4.82,17.24,3.35,40.82,0.41,2.72,28.1,66
35.4,4.85,15.82,2.91,40.19,0.22,2.88,22.79,45
43.43,4.74,16.31,3.97,40.51,0.38,3.06,25.25,66
34.99,4.35,17.43,2.31,40.31,0.41,3.13,23.74,71
15.02,3.54,18.74,0.59,41.23,0.59,4.94,26.6,75
29.31,4.63,23.2,0.47,40.74,0.39,3.39,25.06,62
19.65,4.85,22.46,2.32,40.27,0.55,3.66,25.17,77
6.82,49.24,42.15,2.75,39.99,0.31,4.72,34.16,48
27.16,4.61,20.93,4.15,40.64,0.77,4.62,28.48,47
27.9,5.05,20.47,5.14,40.42,0.38,3.08,21.22,57
35.17,3.61,19.08,2.06,40.41,0.42,3.7,20.34,49
37.57,4.82,22.32,2.61,40.49,0.48,3.72,21.4,57
23.25,4.13,21.96,0.67,40.36,0.48,4.45,22.36,74
31.08,4.38,19.42,4.38,40.4,0.51,2.9,24.83,68
37.35,3.16,20.08,1.91,40.42,0.38,2.33,22.29,71
22.49,2.72,25.1,1.07,40.48,0.3,2.78,23.62,55
37.14,4.29,32.8,2.76,40.36,0.43,2.93,22.96,59
28.89,3.55,40.9,4.13,40.83,0.53,2.85,24.81,60
28.25,12.9,59.8,2.51,40.73,0.5,2.61,29.82,55
?,8.49,40.18,0,?,0.4,3.09,22.77,68
43.95,4.78,19.99,1.38,104.81,0.57,3.55,28.99,84
24.72,4.12,21.18,0,43.84,0.36,3.77,22.02,64
?,5.69,16.07,0,?,0.36,5.42,31.99,60
23.04,5.23,12.98,1.43,43.25,0.41,9.3,44.94,60
13.59,3.62,21.47,2.35,43.42,0.52,2.96,36.66,60
11.1,8.1,29.29,18.5,39.83,0.97,3.76,39.12,74
32.23,10.28,32.53,65.31,13.14,0.89,7.68,22.05,66
41.01,8.32,25.42,5.5,5.14,0.8,4.59,36.26,70
30.9,7.57,33.55,0,?,0.51,4.13,16.27,78
26.31,4.44,30,12.86,24.8,0.25,3.38,19.1,58
32.98,4.23,26.31,12.71,30.77,0.2,4.3,16.09,47
43.4,4.89,26.08,8.49,55.78,0.38,5.07,17.18,40
32.46,4.99,23.58,11.01,35.92,0.52,4.53,22.04,58
26.6,6.32,21.48,8.74,120.07,0.46,5.37,16.37,76
39.41,7.88,29,10.48,84.68,0.52,3.87,10.98,102
10.22,5.23,33.14,0,?,0.43,4.44,10.45,84
16.88,4.73,33.42,2.93,49.59,0.71,4.02,13.28,90
17.1,4.98,30.5,0,?,0.64,4.07,14.12,85
46.14,5.1,26.83,18.81,28.28,1.08,5.66,14.51,83
55.24,5.51,26.2,25.54,36.38,1.13,4.08,15.05,114
75.42,3.75,17.34,6.51,55.12,0.46,4.5,31.09,150
65.16,8.31,22.49,4.41,55.14,0.51,4.53,?,124
?,14.91,30.02,0,?,0.61,4.77,?,104
?,12.34,29.19,0,?,0.51,4.42,?,114
70.57,7.54,24.24,6.39,55.41,0.49,4.57,?,111
69.14,10.26,20.54,4.73,56.1,1.45,8.5,?,101
54.75,8.6,20.33,7.29,55.42,0.55,10.84,?,89
41.7,11.37,24.67,5.86,55.17,0.73,4.57,?,103
27.31,10.57,25.65,5.49,38.9,0.56,4.59,23,91
13.51,7.51,27.68,3.9,15.05,1.11,4.26,15.26,83
18.96,6.87,26.66,4.02,15.09,0.85,4.12,14.68,129
14.61,6.43,24.16,5.29,15.11,0.73,3.97,15.67,78
21.3,9.64,28,4.89,15.12,1.08,4.5,15.17,75
25.15,14.37,31.42,4.02,15.12,1.97,3.65,12.04,141
24.23,9,25.35,6.19,15.13,0.51,4.65,13.14,69
35.18,18.71,39.16,3.44,15.02,0.2,4.22,21.95,58
32.41,20.35,47.09,0,?,0,7.07,23.11,73
56.36,16.27,38.07,6.79,14.45,0.52,6.24,4.68,85
53.43,15.26,33.94,7.55,14.91,0.73,7.21,?,183
44.05,17.12,35.85,0,?,0,6.02,41.74,85
62.36,16.5,38.24,3.31,15.14,0.37,6.46,23.58,75
62.74,16.25,35.42,9.55,19.99,1.12,8.07,23.86,132
97.17,15.42,33.75,9.13,39.56,0.75,10.52,10.54,176
67.85,17.7,38.05,8.52,24.4,1.2,7.36,31.08,184
58.78,17.97,41.96,6.73,23.24,1.18,9.87,22.16,127
80.99,14.17,36.1,11.88,33.13,1.64,8.46,22.28,163
68.17,8.27,44.78,18.86,40.67,1.16,4.9,25.13,164
59.61,8.04,46.57,16.72,37.52,0.83,4.28,29.54,132
62.38,12.29,46.43,15.06,34.9,0.8,9.04,44.86,116
78.74,10.07,44.4,13.2,35.3,3.1,4.31,45.04,174
60.79,9.82,38.53,10.08,41.04,2.97,3.75,23.8,188
36.92,13.39,34.8,6.17,38.42,0.55,4.92,21.69,88
21.2,3.94,30.89,4.5,37.58,0.28,5.34,16.2,51
31.26,16.42,39.54,3.64,36.28,0.42,3.29,26.39,57
34.79,22.62,41.17,7.45,37.76,1.37,2.49,25.26,82
55.92,12.26,37.52,14.38,36.05,0.85,4.84,30.68,88
55.03,8.25,29.98,0,28.78,1.16,4.69,34.67,111
41.23,2.8,27.4,0,27.28,0.7,3.85,37.6,90
43.91,3.56,31.23,0,29.92,0.83,2.83,36.94,78
52.08,8.9,32.63,6.48,29.57,0.83,6.29,37.14,94
46.94,7.62,28.38,0,28.86,0.62,5.16,46.92,95
49.03,8.22,30.8,0,27.67,0.76,6.34,62.56,112
57.78,10.46,41.03,0,29.6,0.73,7.64,71.14,124
52.72,7.61,37.57,0,30.49,0.72,8.28,77.53,122
38.42,10.83,38.81,0,39.82,0.63,4.93,57.77,99
29.96,10.55,36.67,0,31.52,0.37,5.26,14.2,44
27.64,7.72,25.66,0,14.03,0.91,5.02,15.65,38
35.8,10.26,25.46,0,24.15,1.9,5.08,22.33,102
40.13,11.92,34.52,0,34.63,0.99,2.97,48.83,189
43.6,8.35,30.86,0,24.55,0.57,2.5,56.67,101
48.93,3.22,26.23,0,24.89,0.62,2.78,45.24,86
42.21,4.16,38.1,0,?,0.46,2.34,49.29,95
102.01,14.76,44.31,0,31.02,0.69,3.9,44.48,120
91.6,9.41,31.76,0,39.39,3,7.56,16.37,101
47.76,10.82,39.92,0,39.88,2.6,6.66,33.28,335
86.62,9.06,32.55,0,19.16,1.05,4.88,46.95,140
46.12,12.75,33.94,0,17.7,1.22,4.01,43.76,133
46.87,14.9,36.46,0,17.32,0.89,3.63,38.04,113
53.71,17.18,37.49,0,17.2,0.85,3.52,35.33,117
49.9,15.78,38.97,0,27.25,0.67,6.79,26.27,124
59.3,11.64,37.55,0,27.55,0.81,11.63,31.34,120
49.69,9.74,31.49,0,26.58,1.88,5.34,28.52,160
45.84,12.77,26.72,0,27.97,0.87,4.93,39.83,114
22.14,10.95,26.06,0,30,0.72,3.55,20.83,103
18.3,14.52,30.35,0,37.49,0.82,4.06,11.42,67
24.44,10.4,23.2,0,28.44,1.66,3.15,8.61,125
23.63,14.4,30.2,0,29.23,2.95,4.43,9.8,209
36.97,14.79,44.45,0,27.6,1.7,3,15.37,200
40.72,14.55,44.74,0,26.04,0.65,3.63,20.32,101
32.59,15.8,43.67,0,26.6,0.69,5.58,16.42,85
44.96,10.65,40.56,0,24.42,1.19,6.68,13.5,163
30.37,7.35,37.24,0,24,0.46,3.47,6.73,75
24.98,10.07,42.15,0,32.37,1.76,8.15,8.43,132
42.19,4.07,25.22,0,28.36,1.46,6.85,22.58,119
204.25,1.55,22.25,0,37.1,0.97,7.88,18.31,342
30.72,8.36,23.41,0,25.14,0.54,2.62,22.5,104
28.47,14.16,37.05,0,27.42,1.15,3.72,12.13,93
34.57,14.64,37.38,0,36.2,1.39,4.25,7.08,134
36.97,8.67,38.93,0,23.44,1.63,4.35,13.37,103
35.21,7.48,40.15,0,28.81,0.79,4.81,26.23,90
37.8,8.19,40.9,0,20.01,0.73,4.27,25.9,97
19.09,6.35,35.67,0,18.42,0.71,3.75,18.88,93
19.68,6.17,24.18,0,16.41,0.46,4.19,16.53,74
39.64,7.26,30.67,0,17.54,0.28,4.74,28.61,75
43.67,15.23,72.51,0,17.39,0.74,7.81,37.75,100
57.79,14.19,79.24,0,18.3,0.62,7.79,11.26,112
39.11,5.4,46.39,0,17.31,0.71,4.93,52.62,114
34.02,7.15,49.47,0,17.08,0.84,5.17,34.44,104
53.5,5.22,41.33,0,16.9,0.7,7.04,23.74,90
38.53,2.34,20.7,0,17.07,0.2,4.32,17.27,84
44.9,7.43,30.07,0,16.91,0.46,5.6,?,76
54.65,9.58,44.47,0,17.46,0.57,5.58,?,93
40.96,9.9,47.25,0,17.59,0.74,4.92,41.16,106
20.13,7.33,42.34,0,?,0.77,4.8,25.9,88
19.61,8.81,40.94,0,17.62,0.68,4.93,29.95,83
26.66,9.8,49.02,0,19.41,0.74,4.95,31.55,87
36.93,6.9,38.48,0,24.85,0.76,4.58,39.09,91
36.09,7.03,36.01,0,25.09,0.63,4.57,35.78,85
41.53,7.88,39.13,0,24.47,0.59,4.32,39.95,88
47.48,7.12,40.87,0,25.17,0.79,5.57,43.82,106
37.61,4.72,33.21,0,25.52,0.67,4.83,39.25,95
43.11,8.29,44.61,0,24.41,0.86,8.12,38.14,87
74.1,4.58,37.38,0,24.92,0.61,5.51,59.48,130
42.42,6.56,47.35,0,25.29,1.02,5.96,56.92,132
24.26,7.53,44.12,0,26.47,0.68,3.72,52.42,110
31.22,4.05,26.86,0,26.04,0.55,3.67,50.8,91
29.21,2.03,13.26,0,24.76,0,3.29,63.14,78
26.3,1.37,11.83,0,23.31,0,3.07,58.37,71
31.65,7.04,34.1,0,23.82,0.53,5.25,53.3,66
37.02,9.83,52.33,0,23.88,1.3,7.6,?,94
39.68,7.37,47.26,0,22.76,0.67,6.18,?,117
31.59,10.26,42.72,0,23.03,1.03,5.81,?,87
39.92,11.78,47.16,0,24.05,0.6,5.54,?,85
40.34,16.09,67.51,0,23.84,0.61,6.9,?,98
?,17.23,76.4,0,?,0.58,7.09,?,98
49.45,16.15,67.63,0,22.23,0.71,6.9,?,111
41.55,8.58,45.39,0,23.95,5.28,6.23,51.39,100
34.96,7.97,41.5,0,23.3,6.42,4.81,49.67,168
27.04,5.55,28.01,0,24.99,7.32,3.67,47.81,182
23.36,12.36,46.38,0,27.95,8.19,5.81,19.01,174
10.26,12.63,63.82,0,?,7.67,5.34,20.22,210
6.8,8.71,39.99,0,?,6.65,4.24,17.63,214
31.79,10.38,40.89,0,24.82,7.54,4.51,34.35,230
37.81,6.94,40.55,0,24.8,1.55,7.85,47.14,97
27.42,8.06,43.93,0,23.83,1.87,8.57,39.53,101
49.35,8.73,58.2,0,22.26,6.34,5.18,72.53,94
32.16,5.83,43.39,0,22.29,15.93,3.37,50.44,207
32.08,1.54,19.23,0,22.38,14.89,3.34,60.82,270
29.93,1.63,19.93,0,20.54,11.68,2.93,58.61,269
32.73,7.98,45.2,0,21.39,15.22,4.71,60.34,273
43.1,10.78,64.19,0,20.74,12.47,6.59,65.58,238
41.94,6.83,45.34,0,20.2,9.04,7.24,64.64,200
38.04,6.81,45.51,0,21.68,0.58,6.22,12.28,69
36.09,6.31,41.63,0,20.99,0.66,7.38,13.96,77
29.54,8.73,51.47,0,21.44,1.01,5.61,41.88,109
27.65,10.35,57.48,0,22.83,0.68,5.79,43.53,80
30.98,9.51,44.34,0,23.08,0.5,5.43,?,59
34.94,8.05,49,0,28.08,0.87,5.9,?,71
40.41,11.32,64.96,0,24.68,1.08,8.65,?,83
34.8,11.7,70.5,0,23.65,1.25,7.73,?,83
47.98,9.36,70.87,0,22.85,1.4,10.26,?,95
47.56,12.85,80.24,0,22.95,1.08,9.22,?,96
41.4,17.34,102.78,0,22.5,1.13,8.57,?,92
53.85,21.36,95.12,0,22.25,1.14,10.75,?,90
52.93,17.53,75.14,0,21.94,0.86,9.32,?,104
42.13,9.87,51.89,0,21.67,1.11,17.04,66.01,106
44.09,13.23,49.76,0,22.22,0.38,9.22,45.32,99
42.73,10.08,47.21,0,21.92,0.4,9.04,21.94,83
40.96,8.08,35.46,0,22.93,0.34,7.42,19.64,75
35.66,7.38,32.39,0,24.05,0.39,7.69,34.75,73
37.55,8.72,38.99,0,22.87,0.46,7,25.64,70
31.19,8.91,43.09,0,22.97,0.46,6.84,27.08,71
39.98,28.97,72.79,0,107.53,0.36,6.83,32.88,71
36.36,14.27,51.16,0,24.18,0.38,6.54,22.95,75
29.87,8.12,40.71,0,26.25,1.01,6.43,22.65,104
28.41,11.64,41.35,0,26.53,0.53,8.16,13.85,57
23.15,5.99,25.6,0,27.95,0.39,7.12,20.8,59
26.67,6.52,29.12,0,31.01,0.35,6.61,19.79,54
27.87,9.75,38.6,0,34.12,0.35,5.4,25.64,59
31.78,9.48,41.89,0,30.12,0.79,8.94,29.59,102
32.53,7.46,38.79,0,35.13,0.35,6.8,16.07,72
29.4,5.62,22.5,0,42.48,0.21,5.47,29.37,66
28.94,6.79,25.81,0,28.2,0.22,5.57,26.56,56
27.07,7.54,28.21,0,26.09,0.13,5.54,30.11,66
42.64,6.48,26.88,0,30.64,0.26,6.36,19.9,55
21.93,7.72,25.17,0,34.32,0.46,3.91,11.13,69
17.99,7.98,23.84,0,33.53,0.28,4.61,8.93,44
27.59,11.33,23.73,0,26.96,0.21,4.77,28.92,54
39.28,6.33,30.51,0,27.37,0.16,4.14,47.72,98
32.33,6.96,30.75,0,25.99,0.78,7.59,66.57,99
32.31,4.96,21.08,0,25.66,0.2,5.33,57.26,95
38.73,6.29,29.11,0,26.78,0.3,4.51,60.19,87
36.42,6.75,30.76,0,26.49,0.48,5.53,42.51,83
43.96,6.52,32.28,0,23.98,0.55,6.87,36.22,74
44.26,8.71,41.3,0,24.06,0.68,8.28,42.18,89
67.75,7.38,39.52,0,20.33,0.48,7.14,43.89,140
47.51,11.76,40.07,0,20.79,0.56,9.41,52.37,104
53.63,7.44,35.29,0,22.33,0.3,12.82,68.34,99
